,S&P 500 return,iShares Global Tech ETF return,iShares Global Healthcare ETF return,FTSE 100 return,ESTX 50 PR.EUR return,Nikkei 225 return,iShares MSCI Emerging Markets ETF return,U.S. Treasury Bond Futures return,ASI Asia Pacific ex-Japan Tracker Fund return,Alphabet Inc. return,Facebook Inc. return,Microsoft Corporation return,Snap Inc. return,Spotify Technology S.A. return,"Netflix, Inc. return",Apple Inc. return,"Datadog, Inc return",MSCI World ESG Leaders return,Lyxor Core FTSE Actuaries UK Gilts 0-5Y return
2016-05-23,-0.0020854588262010365,0.0007295824072064416,-0.004353014671663269,-0.0032324454023238136,-0.009867792714899237,-0.004884577695248304,-0.0018625862724268583,0.0013318112633180501,0.0,-0.007749316760353286,-0.011759667861264034,-0.011655287098578326,0.0,0.0,0.025948762589442342,0.012707324150667443,0.0,0.0,0.0
2016-05-24,0.013681382915580853,0.018854109186267065,0.014743138839546699,0.013509533981476807,0.026318455193153456,-0.009357165387259614,0.01026441661618982,-0.0024700741022231076,0.0,0.022506584722631118,0.014917616496355812,0.031181386845351433,0.0,0.0,0.031615555186168764,0.015244227623796514,0.0,0.0,0.0
2016-05-25,0.006974740416216374,0.008077121833715006,0.006813629649762731,0.0070104510744035675,0.01710230123683787,0.0156732897907208,0.012007300063618498,-0.0028571428571428914,0.0,0.007193535260557216,0.001614290610389757,0.010273184605645858,0.0,0.0,0.023597895838164185,0.017568989477907193,0.0,0.0,0.0
2016-05-26,-0.00021044370918177346,0.002028312335465632,0.0004977302634632252,0.00044712402302748977,0.0031388367822033914,0.0009017732131031408,0.006693223418886118,0.005921680993314249,0.0,-0.001585650817332862,0.013402341279178387,-0.0044128621798266154,0.0,0.0,0.026047914951534246,0.00793008954177954,0.0,0.0,0.0
2016-05-27,0.0042868573656227316,0.0051618613046511275,0.003779972802746112,0.0008138930752015217,0.0023671514133905003,0.00371912662253826,-0.000302197779967428,-0.0015191796429927518,0.0,0.011793595065690665,-0.0007533606700145246,0.008286801039437242,0.0,0.0,0.0047661220652879255,-0.0005974465266326279,0.0,0.0,0.0
2016-05-30,0.0,0.0,0.0,0.0,0.0037453646198470913,0.013851019027253164,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-05-31,-0.0010052632800822137,0.0029204662886550548,-0.0004955226622055386,-0.006378771646976533,-0.008585742413177444,0.009782092040423906,0.0012090553452850372,0.0024724229745149984,0.0,0.004176559540260305,-0.004774660867180369,0.012996951367552745,0.0,0.0,-0.0070668245769558435,-0.004883083354049744,0.0,0.0,0.0
2016-06-01,0.0011350423498972528,-0.0014056521263107191,0.0034701616803012314,-0.0062431636735919005,-0.008065977307284422,-0.016202513284089726,-0.0006039492330967011,0.0013280212483399723,0.0,-0.0021338920538830353,-0.0002524955854303901,-0.0028302568011534524,0.0,0.0,-0.010334386272789264,-0.014019550684405524,0.0,0.0,0.0
2016-06-02,0.0028246782448091423,0.00020096291763560536,0.010176845083910147,-0.0010174266541300714,-0.0016157566935585121,-0.023188602149511794,0.008157247484785524,0.006820765441455157,0.0,-0.005107947800053414,0.0012628472913187583,-0.007000942207377903,0.0,0.0,-0.0025613436595144368,-0.007515777943317037,0.0,0.0,0.0
2016-06-03,-0.0029118146788911226,-0.0023119444507676556,0.001173630043236784,0.003879979245305476,-0.011968270361649824,0.004810834336665293,0.015283269976786862,0.011667293940534451,0.0,-0.011035044818125672,-0.0038678129992433252,-0.013147689955775754,0.0,0.0,-0.016395101234567888,0.0020465584690620986,0.0,0.0,0.0
2016-06-06,0.0048972810511889175,0.005339780982752451,0.005275720393499661,0.010274382084693112,0.0014511360707558651,-0.0037375502109444625,0.010625642607630104,-0.002790178571428603,0.0,-0.008015669606524445,0.0027011057423727003,0.006564904411517691,0.0,0.0,0.011547364656988135,0.0072508410136153945,0.0,0.0,0.0
2016-06-07,0.001289446391868232,0.004610367876015431,-0.0025268308180663723,0.001769391107437679,0.01292182959670174,0.005755111784830458,0.009053750298752217,0.0022383883603804833,0.0,0.00013960784547539795,-0.008670755041074618,-0.0005754648123837969,0.0,0.0,-0.008437552281865157,0.004055700857816369,0.0,0.0,0.0
2016-06-08,0.00330956635586821,0.0016960919275641473,0.0018511121199717984,0.0027050680245046532,-0.006883283533051343,0.009323329222391097,0.007235820337990084,0.002233389168062594,0.0,0.016228290812141166,0.005349838564031373,-0.0011516758227524404,0.0,0.0,-0.02032233477147205,-0.0009087664566477249,0.0,0.0,0.0
2016-06-09,-0.00171775869182611,-0.001195188228759747,-0.0049596699105589614,-0.01104500484011739,-0.01017629907616402,-0.009655429813291372,-0.011494194282237302,0.004085422469823685,0.0,0.00041191298409204435,0.0014359236543282083,-0.008070858777944112,0.0,0.0,-0.007868434417857784,0.007176088553633386,0.0,0.0,0.0
2016-06-10,-0.00917518113312521,-0.013062269693685291,-0.014659887663952986,-0.01862996820002527,-0.02606863137673754,-0.004022626055662948,-0.025290651581116208,0.004808581468466855,0.0,-0.012586186535500254,-0.01636298104525946,-0.0027121547791721934,0.0,0.0,-0.03440103138947492,-0.008228810961531496,0.0,0.0,0.0
2016-06-13,-0.008115191023280288,-0.012729859688575207,-0.008133323755539656,-0.011576540641849764,-0.01978286113655403,-0.035068193745429355,-0.014017278233948938,0.002576845205227274,0.0,-0.0014595127109811035,-0.022894923094797015,-0.026029463612729176,0.0,0.0,0.001066645333333227,-0.015076699259470416,0.0,0.0,0.0
2016-06-14,-0.0017988855029992257,-0.0008186182808266329,-0.005599973346776532,-0.02009925558312653,-0.019744066137654004,-0.009999244101119076,-0.003327428329184867,0.0009179364787956779,0.0,-0.00012523665276242824,0.008688065169497161,-0.006182486455130531,0.0,0.0,0.002876984611123845,0.0012331084002432657,0.0,0.0,0.0
2016-06-15,-0.0018407126972377341,0.0028676733333523607,-0.0032179364663295074,0.007309834557271744,0.011840538615733198,0.0038199179015070417,0.010622303987411819,0.0016507703595010081,0.0,0.000904900638899031,-0.0029580998267253467,-0.0028098205741147186,0.0,0.0,0.0018061835378395674,-0.00328338733968081,0.0,0.0,0.0
2016-06-16,0.0031329905865316032,0.0005105025747016434,0.0025220476392506797,-0.0027317499384411636,-0.0038865137298381702,-0.030493293643521047,-0.0036037388853754626,0.005676616004394841,0.0,-0.011906746512010735,-0.0018324520389607635,0.014087463904996822,0.0,0.0,0.012196425790683918,0.004220828080544914,0.0,0.0,0.0
2016-06-17,-0.0032579651646926777,-0.006430290005775885,-0.006440626863057575,0.011864565666750648,0.0105947832727471,0.010724310637000745,0.0027124366876463135,-0.006008739985433387,0.0,-0.02624023649079832,-0.011976588967362423,-0.005159938719064172,0.0,0.0,-0.01037306139201477,-0.02275766286248959,0.0,0.0,0.0
2016-06-20,0.005808185112367248,0.007704659568452454,0.009723610411837669,0.030376492505207242,0.032890267539473106,0.023438949652974772,0.017733946504371545,-0.006594614398241383,0.0,0.002876960451384747,0.0030968501972266083,-0.0011967826559822203,0.0,0.0,-0.00688188481361196,-0.002412801615405691,0.0,0.0,0.0
2016-06-21,0.002712061442457836,0.009052279006998898,0.002480365399273099,0.003642826885880135,0.008311655919529093,0.012765845270013232,0.007678662580763884,-0.000921998893601339,0.0,0.003214570828270258,0.008908829260593887,0.022368716538472055,0.0,0.0,-0.029957408423537113,0.008517342365561786,0.0,0.0,0.0
2016-06-22,-0.0016515635798043382,-0.003661727891548505,0.0011109347202173936,0.005556820167576637,0.0036969038514873542,-0.006394329851747926,0.002540333392190508,-0.009413067552602405,0.0,0.002184125061976294,-0.004109048892526168,-0.00390691624134154,0.0,0.0,-0.010770370607107838,-0.003753495618541214,0.0,0.0,0.0
2016-06-23,0.013364078570495375,0.015720703610814013,0.013719369293463402,0.012281974797964335,0.019994576394102737,0.010745231768849894,0.024160208530317195,-0.00968883920253405,0.0,0.006322904339884916,0.010271248871170258,0.018042453783440493,0.0,0.0,0.018331318335044644,0.0057563124938566634,0.0,0.0,0.0
2016-06-24,-0.03591979991551375,-0.04663303754083448,-0.035625477479469314,-0.03146051654547399,-0.0861692144403936,-0.07921556740514202,-0.060702080366805466,0.02333019755409227,0.0,-0.037970028908273834,-0.02606882123620402,-0.040068973029148025,0.0,0.0,-0.03512984791054552,-0.028095822056039887,0.0,0.0,0.0
2016-06-27,-0.018096502120201086,-0.02308668889433363,-0.00908062532784526,-0.025493996290529064,-0.028331266099747676,0.023889109378130602,-0.012863765784910997,0.018753447324875827,0.0,-0.01030769423139588,-0.027748045543396826,-0.028095652192132392,0.0,0.0,-0.03516508287731612,-0.014561094413928943,0.0,0.0,0.0
2016-06-28,0.01777016520887531,0.021905501526491733,0.022388983557223963,0.026445070683563054,0.022699293529886866,0.0009098893434398292,0.02947558148017526,-0.0003609456776755282,0.0,0.01762782124281248,0.034229567456826926,0.0208547335523539,0.0,0.0,0.03093869609894062,0.016840487232294254,0.0,0.0,0.0
2016-06-29,0.01703267271049458,0.017212390739794303,0.019454006754340947,0.035779460541070174,0.02664690306504891,0.015903426817089006,0.0253166432022236,-0.0005416140097490585,0.0,0.005984952549363154,0.012954809572887527,0.022249355251430014,0.0,0.0,0.035125576501925826,0.00865457931682645,0.0,0.0,0.0
2016-06-30,0.013565044272757953,0.010380946709413807,0.008991866851545183,0.022672553069619905,0.011496465189980709,0.0005839238916627298,0.009994125122366304,-0.003793352601156097,0.0,0.011679395382600655,0.0010511124368917102,0.012465079615378238,0.0,0.0,0.0046123985199297834,0.0127120303769086,0.0,0.0,0.0
2016-07-01,0.0019486024753911924,0.0020548063262730842,0.006733248959809757,0.011300217118451306,0.0063950198146951465,0.006841364589290855,0.00960405545156684,0.00779691749773348,0.0,0.010273148745203908,-0.0007875131325473239,-0.00019523622754635817,0.0,0.0,0.05673365576955658,0.003033269336878641,0.0,0.0,0.0
2016-07-04,0.0,0.0,0.0,-0.008437471745158964,-0.007231933283842751,0.005950546929388345,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-07-05,-0.006847477275030989,-0.010868399296214415,-0.003442343650059465,0.0035417103921369097,-0.017234961331336285,-0.006748927364446877,-0.021331805381276325,0.014753508456279318,0.0,-0.0060926043191068535,8.752955447000055e-05,0.00019527435217425726,0.0,0.0,0.012827206223796628,-0.009385250422405678,0.0,0.0,0.0
2016-07-06,0.005352962934909389,0.0037316888674852056,0.008882771557185087,-0.012497296609028541,-0.01831211005891331,-0.018529180415162827,-0.0026507928201201514,-0.0021276595744680327,0.0,0.0040578573297442855,0.021891419139004054,0.004104062737097847,0.0,0.0,-0.03380661694181941,0.0056845911358121,0.0,0.0,0.0
2016-07-07,-0.000871577782587063,0.0026852365135843215,-0.002054415595897696,0.010860775099889253,0.006782857859108038,-0.006681192876554332,-0.002657936276156736,0.002132196162046851,0.0,-0.0034539102152885137,-0.007283624865902949,0.0,0.0,0.0,0.00528541237389879,0.004291738606600148,0.0,0.0,0.0
2016-07-08,0.015253349299217511,0.017612441889775177,0.009116604414664886,0.008693301707305645,0.020830153576722132,-0.011079936058041473,0.02161681381896363,0.0039007092198581894,0.0,0.01476935719848771,0.011998273836828277,0.0179060136005591,0.0,0.0,0.0206098847657179,0.007713101435522507,0.0,0.0,0.0
2016-07-11,0.003408615584790109,0.010222603397456842,0.0015542751651205222,0.014004764760042088,0.016670151913946274,0.03983852664898824,0.009565145853321688,-0.00706464146944541,0.0,0.013406490558745432,0.005373635369731122,0.005544945646515531,0.0,0.0,-0.02462394445959082,0.0031030160737004486,0.0,0.0,0.0
2016-07-12,0.0070092934627346,0.0109209741159908,0.0027158339841948376,-0.00032915456347648586,0.016677481827295226,0.02462502404969724,0.014068141962745528,-0.01067235859124871,0.0,0.007761243746166935,0.0005090099132347703,0.011789133334088708,0.0,0.0,0.013731942827335919,0.00453710333723456,0.0,0.0,0.0
2016-07-13,0.00013476772627241118,-0.001585869835624809,-0.000676946807831702,-0.0015417984192299672,-0.00248856228415284,0.008435775734537687,-0.0016987220361271982,0.006652283351312516,0.0,-0.005078867289932676,-0.00975155600780131,0.0056380107980797955,0.0,0.0,0.004793154060715343,-0.005645642532097095,0.0,0.0,0.0
2016-07-14,0.005259203949780522,0.00903317784790425,0.0033877811784939205,-0.0023836504907648326,0.012620782447327672,0.009516163392199184,0.014464068161701427,-0.0112520092873728,0.0,0.005537158792076724,0.00436720332563123,0.004298394522990412,0.0,0.0,0.01648861350202213,0.019820402291844008,0.0,0.0,0.0
